Código Contrapartida,Nombre Contrapartida
41000000256,"BBVA, S.A."
41000010053,"BANCO SANTANDER, S.A."
41000000056,"JUAN QUINTANA, S.L."
41000000187,"CENTROWAGEN, S.L."
41000000001,"EXTREDAF, S.A."
41000000012,"RECAMBIOS RAF EXTREMADURA, SAU"
41000000041,"BERNER MONTAJE Y FIJACION, SLU"
41000010083,"CERKAFOR AMBIENTE, S.L."
41000000211,"HYDRAPLAN MERIDA, S.L."
41000010072,"ADAICO TRUCK & TRAILER, S.L."
41000010015,"SECIMER, SEGURIDAD E INCENDIOS, S.L."
41000000139,"RECA HISPANIA, S.A."
41000010166,"TODOMOTO, C.B."
41000010167,"CARROCERIAS EXTREMADURA, S.C.E."
41000000045,"LECITRAILER, S.A."
41000000085,"CABALLERO LAGOA, FRANCISCO J"
41000010168,"CYO ELECTROMECANICA, S.C."
41000010129,"MAVEN E HIJOS, S.L."
41000010092,"GRUPO RCV CARS MOTOR, S.L."
41000010171,"TALLERES AMARANTOS, S.L."
41000010151,"AGESTRANEX, S.L."
41000000208,"GESTORIA MULTIGESTION LICA, S.L."
41000010030,GONZALEZ LAVADO MARIA ELENA
41000010038,"LEXTRANSPORT ASISTENCIA, S.L"
41000010138,"FACTOR CREA, S.L."
41000000230,XPO TRANSPORT SOLUTIONS SPAIN
41000000107,"SANTANDER FACTORING Y CONFIRMING, SA"
41000010153,"BANKINTER, S.A."
41000000196,"TALAVERA OIL, S.L."
41000010033,"MAGNA OIL CARD, S.L."
41000000014,"SOLRED, S.A."
41000010115,"HNOS. GUILLEN MONTERO, S.L."
41000010123,"DST FUEL CARD, S.L."
41000010158,"NIEVES MOBILITY, S.L."
41000010098,"VALCARCE TARJETA TRANSPORTE, S.A."
41000010169,VERDE Y SOSTENIBLE 2021 SL
41000010172,REPSOL COMERCIAL DE PRODUCTOS PETROLIFEROS SA
41000000102,"ORANGE ESPAGNE, S.A."
41000000022,"ENDESA ENERGIA, S.A."
41000010124,"FCC AQUALIA, S.A."
41000010162,CENTROS COMERCIALES CARREFOUR SA
41000000262,"MAQUINARIA AGRICOLA CAMARA, S.A."
41000010136,"SANCHEZ PENCO, FRANCISCO JAVIER"
41000000028,"FERRETERIA MERIDA 4 G, S.L."
41000000098,"WURTH ESPAÑA, S.A."
41000010108,"FIXPLUSCAR, S.L."
41000010164,"FERRETERIA Y SUMINISTROS CUATRO G, S.L."
41000010165,"FERRETERIA CANOVAS TORNILLERIA, SLL"
41000000204,"MADERAS LEON, S.L."
41000010045,"LEROY MERLIN ESPAÑA, S.L."
41000010084,FNMT-RCM
41000000021,ESCUDERO VALLE MARIA DOLORES
41000000084,"EUROMAYPRO, S.L."
41000010163,"CASCON PEREZ, JORGE"
41000010134,ALOHA NETWORS PROVIDER SLU
41000010170,PC COMPONENTES Y MULTIMEDIA SL
41000000228,"ESTACION ITV VEGA BAJA, S.A."
41000010036,"QUIRON PREVENCION, S.L."
41000010159,AZZ MERIDA MEDEA SL
41000010160,TECOPEMA SL
41000010142,IGLESIAS GAGO SL
41000010141,LOS ROSALES II
41000010105,"MOVISTAR PROSEGUR ALARMAS, S.L."
41000010132,SOLRED DKV PORTUGAL
41000010161,"CONDUCTIVA ONLINE SERVICES, S.L."
