Código Cuenta,Nombre Cuenta
62100000001,ALQUILER NAVE
62100000016,LEASING 1717058
62100000019,LEASING 7072
62100000022,LEASING 1758040
62100000023,LEASING 0571609
62100000024,LEASING 1765883
62100000025,LEASING 1764683
62100000026,LEASING 90620
62200000001,REPARACION Y CONSERVACION
62300000001,SERV. PROF. INDEPENDIENTES
62300000002,SERVICIOS PROFESIONALES LEXTRANSPORT
62300000003,GASTOS ASESORIA
62500000001,PRIMAS DE SEGUROS
62600000001,SERVICIOS BANCARIOS Y SIMILARES
62800000001,SUMINISTRO CARBURANTE
62800000002,GASTO TELEFONO
62800000003,SUMINISTRO ELECTRICO
62800000004,SUMINISTRO AGUA
62840000001,SUMINISTRO TELEFONIA-INTERNET
62900000001,OTROS SERVICIOS
62900000002,GASTOS LIMPIEZA
62900000003,MATERIAL OFICINA
62900000004,GASTOS ITV
62900000005,GASTOS PREVENCION
62900000006,GASTOS DE REPRESENTACION
62900000007,GASTOS ALARMA
62900000058,GASTOS AUTOPISTA
62900000060,GASTOS IBI
62900000061,GASTOS SUSCRIPCIONES WEB
